photo,room_num,area,price,orientation,h_num,s_num
https://img.0756fang.com/Upload/Dictionary/2021-03/s9869CC9C6ED845FA8357267E5242C64F.jpg,4室2厅2卫,172.0㎡,36046元,南北通,5,1288
https://img.0756fang.com/Upload/Dictionary/2021-05/s82090F982F8C43BAADFEE2832B4AA170.jpg,5室2厅5卫,345.0㎡,62028元,南北通,0,2146
https://img.0756fang.com/Upload/Dictionary/2021-05/sD5480D465A984BBBB578A4C9A5501E31.jpg,3室2厅3卫,241.0㎡,60000元,南北通,1,2146
https://img.0756fang.com/Upload/Dictionary/2021-05/s32563967584841B9A986509F7371F121.jpg,4室2厅4卫,302.0㎡,59602元,南北通,2,2146
https://img.0756fang.com/Upload/fyEstate/14020410140553CBBF3B1B7FABDA5782.jpg,5室2厅3卫,218.0㎡,45871元,东南,0,2147
https://img.0756fang.com/Upload/fyEstate/140204101516059EA9CAC49FE2725427.jpg,5室3厅3卫,227.0㎡,51982元,南,1,2147
https://img.0756fang.com/Upload/Dictionary/2018-03/a3bb3fbe-cd68-440f-934d-eaec8df5507e.jpg,3室3厅3卫,103.0㎡,30097元,东,0,71
https://img.0756fang.com/Upload/Dictionary/2018-03/a3bb3fbe-cd68-440f-934d-eaec8df5507e.jpg,4室3厅2卫,114.0㎡,28947元,北,1,71
https://img.0756fang.com/Upload/Dictionary/2018-03/e6af0f2a-15df-42e1-a021-004d2247a430.jpg,4室4厅4卫,152.0㎡,29605元,南,2,71
https://img.0756fang.com/Upload/Dictionary/2019-09/2ba92aca-f435-49c6-970a-bd651c2ba4a2.jpg,2室1厅1卫,53.5㎡,26168元,北,0,1329
https://img.0756fang.com/Upload/Dictionary/2019-09/2ba92aca-f435-49c6-970a-bd651c2ba4a2.jpg,1室1厅2卫,55.3㎡,27124元,南,1,1329
https://img.0756fang.com/Upload/Dictionary/2019-09/2ba92aca-f435-49c6-970a-bd651c2ba4a2.jpg,3室2厅2卫,72.5㎡,27586元,南,2,1329
https://img.0756fang.com/Upload/Dictionary/2020-09/sC9ABEE6C42374AB7827CC952E6E1E739.png,4室2厅2卫,124.0㎡,34274元,南北通,0,2055
https://img.0756fang.com/Upload/Dictionary/2020-12/4849D35060B24CC6BF153A0CF013CC87.jpeg,3室2厅2卫,112.0㎡,35714元,南北通,1,2055
https://img.0756fang.com/Upload/Dictionary/2020-12/D6E592052F774809819188794833CDA2.jpeg,4室2厅2卫,133.0㎡,36090元,南北通,2,2055
https://img.0756fang.com/Upload/Dictionary/2020-12/62C7FE44AF194978B5D0854CCDD297A8.jpeg,3室2厅2卫,107.0㎡,31775元,南,3,2055
https://img.0756fang.com/Upload/Dictionary/2020-09/s42ACE6CA586740C4B7BA770E1E966CF9.png,3室2厅2卫,92.5㎡,35135元,南北通,4,2055
https://img.0756fang.com/Upload/Dictionary/2019-10/29e2cf0f-7364-47e0-ad7b-bb1108aca875.jpg,4室2厅5卫,218.0㎡,35779元,南北通,0,1339
https://img.0756fang.com/Upload/Dictionary/2019-10/55c5e5a7-04bb-4926-b9cc-9f0fb07e4995.jpg,3室2厅3卫,233.0㎡,42918元,南北通,1,1339
https://img.0756fang.com/Upload/Dictionary/2019-10/629e048d-f13f-4036-953e-6bd109c9fe77.jpg,6室3厅4卫,196.0㎡,47346元,南北通,2,1339
https://img.0756fang.com/Upload/Dictionary/2019-10/14338e32-64b0-469b-a681-5272a5ed5a99.jpg,6室3厅4卫,196.0㎡,47346元,南北通,3,1339
https://img.0756fang.com/Upload/Dictionary/2019-10/111f8b36-e7cf-4787-9ffb-f7310d6d4c19.jpg,6室3厅4卫,196.0㎡,47346元,南北通,4,1339
https://img.0756fang.com/Upload/Dictionary/2019-10/629e048d-f13f-4036-953e-6bd109c9fe77.jpg,6室3厅4卫,196.0㎡,47346元,南北通,5,1339
https://img.0756fang.com/Upload/Dictionary/2019-10/b255edd7-afb0-4d5b-9e0e-4ea88a30e38b.jpg,6室3厅4卫,196.0㎡,47346元,南北通,6,1339
https://img.0756fang.com/Upload/Dictionary/2019-07/6dacc2cb-5b9c-406e-bb0a-9e1c4883baa3.jpg,6室5厅5卫,350.0㎡,54285元,南北通,0,1307
https://img.0756fang.com/Upload/Dictionary/2019-07/b5ee253c-1d0d-4c02-9458-3b46fc3b24d4.jpg,6室5厅5卫,350.0㎡,54285元,南北通,1,1307
https://img.0756fang.com/Upload/Dictionary/2019-07/51ed10cb-09f9-4127-88fe-bcc6630ea733.jpg,6室5厅5卫,350.0㎡,54285元,南北通,2,1307
https://img.0756fang.com/Upload/Dictionary/2019-07/059042ab-6f9b-4227-be12-6ef35aff089b.jpg,6室5厅5卫,350.0㎡,54285元,南北通,3,1307
https://img.0756fang.com/Upload/Dictionary/2019-07/910991c0-58a5-433e-909d-5690176a7133.jpg,6室5厅5卫,350.0㎡,54285元,南北通,4,1307
https://img.0756fang.com/Upload/Dictionary/2018-09/ffa109de-0e55-49dc-821c-b6f1fa188c17.jpg,4室2厅3卫,140.0㎡,39285元,南北通,0,1141
https://img.0756fang.com/Upload/Dictionary/2018-05/839308ff-026c-4401-a772-fe0d428a6e63.jpg,4室2厅3卫,142.0㎡,38380元,南北通,1,1141
https://img.0756fang.com/Upload/Dictionary/2020-04/s408620D8D2254A4DBCD82084AC094E67.jpg,3室2厅2卫,128.4㎡,32087元,南,2,1141
https://img.0756fang.com/Upload/Dictionary/2019-07/bf368836-4528-4269-a0bd-fec5fcd6e2c7.jpg,5室2厅4卫,253.0㎡,35573元,南北通,0,1304
https://img.0756fang.com/Upload/Dictionary/2020-04/s4B9E37725DCD45DE87C55089D6D94943.jpg,3室2厅2卫,89.0㎡,34831元,南,0,1267
